id,tx_hash,block_height,timestamp,from_address,to_address,affiliate_address,from_asset,to_asset,from_amount,to_amount,status,type,raw_row_text,source_file,file_timestamp,created_at,updated_at
1,091ECC36541692CBA62BEADC462E5BD3E052C7D5287888A283E8AB946230542A,09154222356999054066,Aug 11 2025 01:35:40 PM (GMT-7),0xadce7057af0083ee269ef01d8c5b567adac85406,thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,"091E
…
542A
22,356,999
0xad
…
5406
thor
…
k6al",,,,,Success,Add,"091E
…
542A
22,356,999
0xad
…
5406
thor
…
k6al
	
Add
	
10.468548
USDT
AVAX.USDT
	
Success
	
Aug 11 2025 01:35:40 PM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
2,9EC51433847AF83963479BC4E1C330FE4331B86F04049BA24CBBF76D9C7F12A4,9512422356670605406,Aug 11 2025 01:02:41 PM (GMT-7),thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,0xadce7057af0083ee269ef01d8c5b567adac85406,"9EC5
…
12A4
22,356,670
thor
…
k6al
0xad
…
5406",,,,,Success,Add,"9EC5
…
12A4
22,356,670
thor
…
k6al
0xad
…
5406
	
Add
	
7.5088887
RUNE
AVAX.USDT
	
Success
	
Aug 11 2025 01:02:41 PM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
3,DF5ADB08D50445824C63643B8DCE8DCA3627DC3935BC316E9D741C93038CEFE4,5422356661054066,Aug 11 2025 01:01:46 PM (GMT-7),0xadce7057af0083ee269ef01d8c5b567adac85406,thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,"DF5A
…
EFE4
22,356,661
0xad
…
5406
thor
…
k6al",USDC,RUNE,4.030915,2.853039,Success,Swap,"DF5A
…
EFE4
22,356,661
0xad
…
5406
thor
…
k6al
	
Swap
	
4.030915
USDC
2.853039
RUNE
	
Success
	
Aug 11 2025 01:01:46 PM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
4,B48FDBD568625FACDA47B00680CABAB10133B0C95443DCFA397A37A7902FC1B6,48162235614125,Aug 11 2025 12:09:07 PM (GMT-7),thor10prpfj07j6a7rvtd5tfqhdzp8xsypzatfrc2v5,"B48F
…
C1B6
22,356,141
thor
…
c2v5","B48F
…
C1B6
22,356,141",,,,,Success,Add,"B48F
…
C1B6
22,356,141
thor
…
c2v5
	
Add
	
0.70921986
RUNE
BASE.ETH
	
Success
	
Aug 11 2025 12:09:07 PM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
5,84635978DFE1F66E55D601E733822D09EDE4726AE3716FD6BDC389D07AE795F0,846395022355884054066,Aug 11 2025 11:43:15 AM (GMT-7),0xadce7057af0083ee269ef01d8c5b567adac85406,thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,"8463
…
95F0
22,355,884
0xad
…
5406
thor
…
k6al",,,,,Success,Add,"8463
…
95F0
22,355,884
0xad
…
5406
thor
…
k6al
	
Add
	
5.0006
USDT
AVAX.USDT
	
Success
	
Aug 11 2025 11:43:15 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
6,73CB73D60D9B79DBD1F344BB66F697C031255AFC3A1720EDF4202C46222FFAD5,73522355859605406,Aug 11 2025 11:40:44 AM (GMT-7),thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,0xadce7057af0083ee269ef01d8c5b567adac85406,"73CB
…
FAD5
22,355,859
thor
…
k6al
0xad
…
5406",,,,,Success,Add,"73CB
…
FAD5
22,355,859
thor
…
k6al
0xad
…
5406
	
Add
	
3.52782973
RUNE
AVAX.USDT
	
Success
	
Aug 11 2025 11:40:44 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
7,DDA5B9935D51190C7AFDF7BAEE3DD87D689B950D7B4B4403355C186107A59947,599472235520901700765,Aug 11 2025 10:35:16 AM (GMT-7),0x17af7fd6eb8d414be10296dcac9b922d9c9f0076,thor1zdf2n0jx9nqvdnd2u3y93t5y0rs4znnv9rn5zc,"DDA5
…
9947
22,355,209
0x17
…
0076
thor
…
n5zc",FOX,RUNE,1367.16,29.29601297,Success,Swap,"DDA5
…
9947
22,355,209
0x17
…
0076
thor
…
n5zc
	
Swap
	
1,367.16
FOX
29.29601297
RUNE
	
Success
	
Aug 11 2025 10:35:16 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
8,7099F63EA1BFBFB60AD5DF658FD448A59A162511C3D14C0D8B2083FB7C13607D,70996072235481617,Aug 11 2025 09:55:45 AM (GMT-7),debvrlyahkduhjnx9y4vucurlqmwwrtdzy,bc1qghtntl6p9g7mwgjlegfe0cppna6nkquy7ynq7s,"7099
…
607D
22,354,816
debv
…
tdzy
bc1q
…
nq7s",DOGE,BTC,986.0,0.00185691,Success,Swap,"7099
…
607D
22,354,816
debv
…
tdzy
bc1q
…
nq7s
	
Swap
	
986
DOGE
0.00185691
BTC
	
Success
	
Aug 11 2025 09:55:45 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
9,160F48919BACA2484BE1815EB3BCE5A2D38C70F98A95EF20269FB44C5B1A49A7,1604972235460319303105,Aug 11 2025 09:34:21 AM (GMT-7),bc1qcvmx92eurxhna9spnluy5gfm3egmnpra34z9a3,0xC3C3a68DED27DeC84d336d08EC4EB56d8DB01c05,"160F
…
49A7
22,354,603
bc1q
…
z9a3
0xC3
…
1c05",BTC,ETH,0.0179595,0.49387478,Success,Swap,"160F
…
49A7
22,354,603
bc1q
…
z9a3
0xC3
…
1c05
	
Swap
	
0.0179595
BTC
0.49387478
ETH
	
Success
	
Aug 11 2025 09:34:21 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
10,DA898D8F9C42029FF97892F0C9B80B81A0537060422AF54E525597B0A776DB29,8929223542166,Aug 11 2025 08:55:18 AM (GMT-7),thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,"DA89
…
DB29
22,354,216
thor
…
k6al","DA89
…
DB29
22,354,216",,,,,Success,Add,"DA89
…
DB29
22,354,216
thor
…
k6al
	
Add
	
2
RUNE
BSC.BUSD
	
Success
	
Aug 11 2025 08:55:18 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
11,A6B6E799102F2C0C187FFAD3C4E1291BA95175827F326BCB261D4D339B2507AB,6607223542036,Aug 11 2025 08:53:54 AM (GMT-7),thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,"A6B6
…
07AB
22,354,203
thor
…
k6al","A6B6
…
07AB
22,354,203",,,,,,Add,"A6B6
…
07AB
22,354,203
thor
…
k6al
	
Add
	
2
RUNE
BASE.VVV
	
Error
	
Aug 11 2025 08:53:54 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
12,0B72AECE898C8F5B4934A9444C77359293821E9B5B4BB99AC71E5CD92DC35664,0725664223541106,Aug 11 2025 08:44:33 AM (GMT-7),thor16aphlthpcvw2u93g9t4ce3veyf70dyvg5zk6al,"0B72
…
5664
22,354,110
thor
…
k6al","0B72
…
5664
22,354,110",,,,,,Add,"0B72
…
5664
22,354,110
thor
…
k6al
	
Add
	
2
RUNE
BASE.VVV
	
Error
	
Aug 11 2025 08:44:33 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
13,86BD1CE8D5B728D281371A052FCE99FB2375C07ECC08E53F8F3D74BE88783F11,863112235410805406,Aug 11 2025 08:44:21 AM (GMT-7),0xadce7057af0083ee269ef01d8c5b567adac85406,"86BD
…
3F11
22,354,108
0xad
…
5406","86BD
…
3F11
22,354,108",,,,,Success,Add,"86BD
…
3F11
22,354,108
0xad
…
5406
	
Add
	
3
USDT
AVAX.USDT
	
Success
	
Aug 11 2025 08:44:21 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
14,EA243177B98562421B94A4E905EC80929E01F7B7BAA5EC9CB5B735143B2B2BF5,2425223540771203105,Aug 11 2025 08:41:07 AM (GMT-7),bc1q8tnrmtm8knyfucv570cjduj9ekdrrq9r9dw2jx,0xC3C3a68DED27DeC84d336d08EC4EB56d8DB01c05,"EA24
…
2BF5
22,354,077
bc1q
…
w2jx
0xC3
…
1c05",BTC,ETH,0.0059963,0.16597679,Success,Swap,"EA24
…
2BF5
22,354,077
bc1q
…
w2jx
0xC3
…
1c05
	
Swap
	
0.0059963
BTC
0.16597679
ETH
	
Success
	
Aug 11 2025 08:41:07 AM (GMT-7)",viewblock_thorchain_data_2025-08-11T22-04-08-799Z.json,2025-08-11T15:04:08.806433,1754950382,1754950382
