cell_0,cell_1,cell_2,cell_3,cell_4,full_addresses
"#608637
0.01 BTC
$1,098.46
1,089.88 USDC
$1,089.71
0.41968985 ETH
$1,090.07","0xd9…b663
bc1q…72vq",Success,$0.55,"5 hours ago
Took 42m","['0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1', '0xce01f8eee7E479C928F8919abD53E553a36CeF67']"
"#608575
0.011 BTC
$1,210.18
1,200.48 USDC
$1,200.37
0.4610591 ETH
$1,198.98","0xd9…b663
bc1q…72vq",Success,$0.60,"6 hours ago
Took 6m","['0xce01f8eee7E479C928F8919abD53E553a36CeF67', '0xa358b3971966835757700d485b45bc9b5b7bec28']"
"#607855
0.041644 ETH
$107.85
106.58 USDC
$106.56
0.00097044 BTC
$105.80","bc1q…pw2e
0x47…9611",Success,$0.05,"16 hours ago
Took 27s","['0xa358b3971966835757700d485b45bc9b5b7bec28', '0xc5084a2771a7beec256acae37e89c267a192cbb2']"
"#607604
2.462 BTC
$268,978.63
267,010.44 USDC
$266,967.46
266,835.473299 USDT
$266,922.02","0xa3…ec28
bc1q…j8jz","Success
27/27",$134.29,"18 hours ago
Took 10m","['0xc5084a2771a7beec256acae37e89c267a192cbb2', '0xFBb0621E0B23b5478B630BD55a5f21f67730B0F1']"
"#607226
0.01337 BTC
$1,460.85
1,452.02 USDC
$1,451.85
0.5643376 ETH
$1,450.83","0xd9…b663
bc1q…qkmn",Success,$0.73,"21 hours ago
Took 17m","['0xFBb0621E0B23b5478B630BD55a5f21f67730B0F1', '0x4200000000000000000000000000000000000007']"
"#607218
999.00 USDC
$998.87
992.49 USDC
$992.36
992.458591 USDC
$992.33","0x27…bd5b
A9y7…4h9q",Success,$0.50,"21 hours ago
Took 21s","['0x4200000000000000000000000000000000000007', '0x4200000000000000000000000000000000000016']"
"#606270
0.03 BTC
$3,229.13
3,207.14 USDC
$3,206.83
3,205.213529 USDT
$3,205.89","0xae…54a4
bc1q…xn4y",Success,$1.61,"31 hours ago
Took 19m","['0x4200000000000000000000000000000000000016', '0xc393bafe5de38a905461e5945205a82e952e43f3']"
"#605175
385,500.00 USDT
$385,523.54
382,832.69 USDC
$382,777.43
157.80796083 ETH
$381,006.36","0xb7…6fd4
0xe0…669c","Success
39/39",$192.54,"44 hours ago
Took 15m","['0xc393bafe5de38a905461e5945205a82e952e43f3', '0x4200000000000000000000000000000000000010']"
"#605163
250,000.00 USDT
$250,014.59
248,286.91 USDC
$248,246.36
102.66634596 ETH
$247,813.49","0xb7…6fd4
0xe0…669c","Success
26/26",$124.87,"44 hours ago
Took 7m","['0x4200000000000000000000000000000000000010', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48']"
"#604260
0.001 BTC
$106.48
104.94 USDC
$104.93
104.867608 USDT
$104.90","0x6d…9c63
bc1q…w4pw",Success,$0.05,"2 days ago
Took 51m","['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0x0000000000000000000000000000000000000000']"
