cell_0,cell_1,cell_2,cell_3,cell_4
"#608637
0.01 BTC
$1,098.46
1,089.88 USDC
$1,089.71
0.41968985 ETH
$1,090.07","0xd9…b663
bc1q…72vq",Success,$0.55,"4 hours ago
Took 42m"
"#608575
0.011 BTC
$1,210.18
1,200.48 USDC
$1,200.37
0.4610591 ETH
$1,198.98","0xd9…b663
bc1q…72vq",Success,$0.60,"6 hours ago
Took 6m"
"#607855
0.041644 ETH
$107.85
106.58 USDC
$106.56
0.00097044 BTC
$105.80","bc1q…pw2e
0x47…9611",Success,$0.05,"16 hours ago
Took 27s"
"#607604
2.462 BTC
$268,978.63
267,010.44 USDC
$266,967.46
266,835.473299 USDT
$266,922.02","0xa3…ec28
bc1q…j8jz","Success
27/27",$134.29,"18 hours ago
Took 10m"
"#607226
0.01337 BTC
$1,460.85
1,452.02 USDC
$1,451.85
0.5643376 ETH
$1,450.83","0xd9…b663
bc1q…qkmn",Success,$0.73,"21 hours ago
Took 17m"
"#607218
999.00 USDC
$998.87
992.49 USDC
$992.36
992.458591 USDC
$992.33","0x27…bd5b
A9y7…4h9q",Success,$0.50,"21 hours ago
Took 21s"
"#606270
0.03 BTC
$3,229.13
3,207.14 USDC
$3,206.83
3,205.213529 USDT
$3,205.89","0xae…54a4
bc1q…xn4y",Success,$1.61,"31 hours ago
Took 19m"
"#605175
385,500.00 USDT
$385,523.54
382,832.69 USDC
$382,777.43
157.80796083 ETH
$381,006.36","0xb7…6fd4
0xe0…669c","Success
39/39",$192.54,"44 hours ago
Took 15m"
"#605163
250,000.00 USDT
$250,014.59
248,286.91 USDC
$248,246.36
102.66634596 ETH
$247,813.49","0xb7…6fd4
0xe0…669c","Success
26/26",$124.87,"44 hours ago
Took 7m"
"#604260
0.001 BTC
$106.48
104.94 USDC
$104.93
104.867608 USDT
$104.90","0x6d…9c63
bc1q…w4pw",Success,$0.05,"2 days ago
Took 51m"
"#604242
2.9745 ETH
$7,270.56
7,212.17 USDC
$7,211.47
48.57848609 SOL
$7,214.14","3Z4c…8uHB
0xc0…3081",Success,$3.63,"2 days ago
Took 1m"
"#603448
0.06606819 BTC
$7,094.49
7,041.537075 USDC
$7,040.82","0x16…814a
bc1q…8vhf",Success,$3.54,"2 days ago
Took 7m"
"#603332
265,890.839511 USDC
$265,864.90
2.46214103 BTC
$263,749.70","bc1q…gld8
0xfc…1311",Success,$132.80,"2 days ago
Took 1m"
"#602237
600.00 USDT
$600.11
596.1 USDC
$595.99
0.00551953 BTC
$594.57","1EGA…YhyK
0x96…ee4c",Success,$0.30,"3 days ago
Took 1m"
"#601704
0.05 BTC
$5,412.09
5,368.11 USDC
$5,367.52
5,363.81897 USDT
$5,364.56","0xae…54a4
bc1q…xn4y",Success,$2.70,"3 days ago
Took 21m"
"#601530
1.9164 BTC
$208,419.83
206,895.38 USDC
$206,867.81
206,675.81304 USDT
$206,727.08","0xa3…ec28
bc1q…gld8","Success
21/21",$104.06,"3 days ago
Took 13m"
"#601389
4.50 BTC
$487,559.02
484,154.04 USDC
$484,100.58
482,945.225636 USDT
$483,021.21","0xa3…ec28
bc1q…gld8","Success
49/49",$243.51,"3 days ago
Took 20m"
"#601333
82,376.873359 USDC
$82,368.61
0.7538242 BTC
$81,680.27","bc1q…7wj2
0xc3…43f3","Success
9/9",$41.14,"3 days ago
Took 3m"
"#601298
250,800.70788 USDC
$250,764.51
2.29912915 BTC
$248,700.69","bc1q…yjgf
0xdc…61c7","Success
26/26",$125.25,"3 days ago
Took 6m"
"#601292
163,149.23494 USDC
$163,122.58
1.49589311 BTC
$161,771.41","bc1q…yjgf
0xc5…cbb2",Success,$81.48,"3 days ago
Took 1m"
