id,chain,tx_hash,block_time,block_timestamp,block_number,event_type,owner,trader,sell_token,buy_token,sell_amount,buy_amount,fee_amount,units_sold,units_bought,usd_value,order_uid,app_code,app_data,sell_token_name,buy_token_name,affiliate_fee_usd,volume_usd,created_at
1,Ethereum,0x5b9feed8d8ea714e9a5371f727b81ade545379fe8e786d3c4df93ab25bc14915,2025-07-17 11:54,1752778440,0,trade,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,USDC,ETH,50000.0000,14.4527,274.8614,50000.0000,14.4527,49974.8,0xa7d49ec1cea410012f44e652c1662bd0c50574302a01b637b6e64bb205c5d7a8ce46f02ad4f4e889cd2d0d84689f378efe98a5ce6878eb34,shapeshift,,USDC,ETH,274.8614,49974.8,1753984588
4,Ethereum,0x2047e9eee0ec93e18eb3966bf11251e68fba888d5419ae578e52dc1ee095b622,2025-07-17 11:51,1752778260,0,trade,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,USDC,ETH,6000.0000,1.7357,32.98338999999999,6000.0000,1.7357,5996.98,0x44bf8f4111224673c2361ee4dd4b2de014cda35a6bc1743271513df0a610acf5ce46f02ad4f4e889cd2d0d84689f378efe98a5ce6878ea87,shapeshift,,USDC,ETH,32.98338999999999,5996.98,1754059255
5,Ethereum,0x73827e02877f5c07b94f6ba61b693a6726b676253ecb120b8d0e7661b1b72473,2025-07-15 19:08,1752631680,0,trade,0xe9812f14cda5f02287a970f90e42c77ebb3cb6d7,0xe9812f14cda5f02287a970f90e42c77ebb3cb6d7,FOX,USDC,37000.0000,997.0211,5.560829999999999,37000.0000,997.0211,1011.06,0x5dc4c80b95fac752575c3931c488426ead470bc19d2b5f967eaeb24e2b7b285ee9812f14cda5f02287a970f90e42c77ebb3cb6d76876ae24,shapeshift,,FOX,USDC,5.560829999999999,1011.06,1754059255
6,Ethereum,0x642e3df0a596b1ee1d3b73dd291893d812c99138f400a75ca4344f0c5c13bf7e,2025-07-14 03:29,1752488940,0,trade,0x32c98c22005411efd479b628aade5b0cbaeb89a9,0x32c98c22005411efd479b628aade5b0cbaeb89a9,USDC,ETH,5.0000,0.0013,0.027445,5.0000,0.0013,4.99,0x3bfd96b02df8410a931bfd8870d82608f7762adf67c33cc5e69f069a3d04724532c98c22005411efd479b628aade5b0cbaeb89a96874807d,shapeshift,,USDC,ETH,0.027445,4.99,1754059255
7,Ethereum,0xd04390d05306d8fd101e76d9eef22dfff5863993958b2f895f984a7fa4e5b162,2025-07-11 11:28,1752258480,0,trade,0x2d27ae4517ccbf9288d8447f44e4d0471bd883b3,0x2d27ae4517ccbf9288d8447f44e4d0471bd883b3,SHIB,ETH,705454.5858,0.0024,0.05203,705454.5858,0.0024,9.46,0x7ae39202cc185988bd94b97664aae84863c5f5ae07d7f83d2f0ed48eeff2d5b92d27ae4517ccbf9288d8447f44e4d0471bd883b36870fa8d,shapeshift,,SHIB,ETH,0.05203,9.46,1754059255
8,Ethereum,0xfe60166e2538ff6fe121369b68d9584c953c3568b7a25d303d886a35cc332daa,2025-07-10 10:35,1752168900,0,trade,0x210828b39fa710f47f5afb7f53ba43b5c3defdd1,0x210828b39fa710f47f5afb7f53ba43b5c3defdd1,yCRV,USDC,18479.9794,6316.1725,34.726285,18479.9794,6316.1725,6313.87,0xc8e0c7c7fa32b2c5eb3faeee88285e4af6e2cce339155a31258bc97bbc369ec8210828b39fa710f47f5afb7f53ba43b5c3defdd1686f9e55,shapeshift,,yCRV,USDC,34.726285,6313.87,1754059255
9,Polygon,0x5b9feed8d8ea714e9a5371f727b81ade545379fe8e786d3c4df93ab25bc14915,2025-07-17 11:54,1752778440,0,trade,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,USDC,ETH,50000.0000,14.4527,274.8614,50000.0000,14.4527,49974.8,0xa7d49ec1cea410012f44e652c1662bd0c50574302a01b637b6e64bb205c5d7a8ce46f02ad4f4e889cd2d0d84689f378efe98a5ce6878eb34,shapeshift,,USDC,ETH,274.8614,49974.8,1754059255
10,Polygon,0x2047e9eee0ec93e18eb3966bf11251e68fba888d5419ae578e52dc1ee095b622,2025-07-17 11:51,1752778260,0,trade,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,0xce46f02ad4f4e889cd2d0d84689f378efe98a5ce,USDC,ETH,6000.0000,1.7357,32.98338999999999,6000.0000,1.7357,5996.98,0x44bf8f4111224673c2361ee4dd4b2de014cda35a6bc1743271513df0a610acf5ce46f02ad4f4e889cd2d0d84689f378efe98a5ce6878ea87,shapeshift,,USDC,ETH,32.98338999999999,5996.98,1754059255
11,Polygon,0x73827e02877f5c07b94f6ba61b693a6726b676253ecb120b8d0e7661b1b72473,2025-07-15 19:08,1752631680,0,trade,0xe9812f14cda5f02287a970f90e42c77ebb3cb6d7,0xe9812f14cda5f02287a970f90e42c77ebb3cb6d7,FOX,USDC,37000.0000,997.0211,5.560829999999999,37000.0000,997.0211,1011.06,0x5dc4c80b95fac752575c3931c488426ead470bc19d2b5f967eaeb24e2b7b285ee9812f14cda5f02287a970f90e42c77ebb3cb6d76876ae24,shapeshift,,FOX,USDC,5.560829999999999,1011.06,1754059255
12,Polygon,0x642e3df0a596b1ee1d3b73dd291893d812c99138f400a75ca4344f0c5c13bf7e,2025-07-14 03:29,1752488940,0,trade,0x32c98c22005411efd479b628aade5b0cbaeb89a9,0x32c98c22005411efd479b628aade5b0cbaeb89a9,USDC,ETH,5.0000,0.0013,0.027445,5.0000,0.0013,4.99,0x3bfd96b02df8410a931bfd8870d82608f7762adf67c33cc5e69f069a3d04724532c98c22005411efd479b628aade5b0cbaeb89a96874807d,shapeshift,,USDC,ETH,0.027445,4.99,1754059255
